"Date","Price","Open","High","Low","Change %"
"Feb 16, 2014","1.492","1.503","1.529","1.456","-1.06%"
"Feb 09, 2014","1.508","1.484","1.547","1.475","1.75%"
"Feb 02, 2014","1.482","1.473","1.530","1.423","0.34%"
"Jan 26, 2014","1.477","1.580","1.612","1.467","-6.04%"
"Jan 19, 2014","1.572","1.671","1.685","1.556","-6.04%"
"Jan 12, 2014","1.673","1.758","1.773","1.668","-5.21%"
"Jan 05, 2014","1.765","1.858","1.858","1.758","-5.06%"
"Dec 29, 2013","1.859","1.877","1.888","1.845","-0.48%"
"Dec 22, 2013","1.868","1.797","1.870","1.783","4.94%"
"Dec 15, 2013","1.780","1.730","1.823","1.727","2.01%"
"Dec 08, 2013","1.745","1.763","1.772","1.734","-0.40%"
"Dec 01, 2013","1.752","1.610","1.809","1.606","9.23%"
"Nov 24, 2013","1.604","1.578","1.622","1.501","2.30%"
"Nov 17, 2013","1.568","1.503","1.604","1.483","3.98%"
"Nov 10, 2013","1.508","1.555","1.602","1.493","-3.70%"
"Nov 03, 2013","1.566","1.486","1.576","1.464","5.24%"
"Oct 27, 2013","1.488","1.559","1.563","1.443","-3.75%"
"Oct 20, 2013","1.546","1.633","1.655","1.530","-5.21%"
"Oct 13, 2013","1.631","1.650","1.741","1.613","-1.45%"
"Oct 06, 2013","1.655","1.616","1.677","1.570","1.72%"
"Sep 29, 2013","1.627","1.551","1.646","1.541","3.17%"
"Sep 22, 2013","1.577","1.739","1.788","1.570","-10.30%"
"Sep 15, 2013","1.758","1.745","1.825","1.659","-1.62%"
"Sep 08, 2013","1.787","1.820","1.907","1.771","-1.16%"
"Sep 01, 2013","1.808","1.749","1.912","1.748","5.42%"
"Aug 25, 2013","1.715","1.796","1.799","1.684","-4.46%"
"Aug 18, 2013","1.795","1.776","1.845","1.700","3.10%"
"Aug 11, 2013","1.741","1.540","1.771","1.540","12.54%"
"Aug 04, 2013","1.547","1.477","1.574","1.451","4.32%"
"Jul 28, 2013","1.483","1.482","1.561","1.422","-0.20%"
"Jul 21, 2013","1.486","1.334","1.516","1.329","10.73%"
"Jul 14, 2013","1.342","1.385","1.420","1.325","-3.17%"
"Jul 07, 2013","1.386","1.540","1.561","1.368","-10.93%"
"Jun 30, 2013","1.556","1.575","1.604","1.437","-0.64%"
"Jun 23, 2013","1.566","1.603","1.691","1.528","-0.63%"
"Jun 16, 2013","1.576","1.379","1.578","1.345","16.57%"
"Jun 09, 2013","1.352","1.404","1.506","1.349","-2.87%"
"Jun 02, 2013","1.392","1.349","1.424","1.328","2.13%"
"May 26, 2013","1.363","1.286","1.399","1.273","6.57%"
"May 19, 2013","1.279","1.246","1.319","1.210","6.41%"
